added_at,id,name,popularity,uri,artist,album,release_date,duration_ms,length,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,mode,key,genres,genre_group
2022-04-04T15:02:37Z,3CAUdHOsgijdnNsjO7o7Hd,WE ARE,41,spotify:track:3CAUdHOsgijdnNsjO7o7Hd,Jon Batiste,WE ARE,2021-03-19,264501,264501.0,0.472,0.299,0.488,0.00526,0.164,-9.836,0.0869,96.539,4.0,0.328,0.0,3.0,new orleans jazz,jazz
2022-04-04T11:38:52Z,4XyKqXYeL0FBPFbDrXLvJZ,Crazy Race,50,spotify:track:4XyKqXYeL0FBPFbDrXLvJZ,The RH Factor,Distractions,2006-01-01,143280,143280.0,0.781,0.364,0.393,8.44e-06,0.107,-12.197,0.149,101.07,4.0,0.733,0.0,10.0,"contemporary jazz, funk, indie jazz, indie soul, jazz funk, neo r&b, neo soul",funk
2022-04-04T10:37:34Z,1M8t1j3Kv2qp97bdq5q4Vl,Rainfall (Praise You),75,spotify:track:1M8t1j3Kv2qp97bdq5q4Vl,Tom Santa,Rainfall (Praise You),2022-02-18,166569,166569.0,0.767,0.14,0.862,0.0092,0.252,-5.464,0.0606,128.039,4.0,0.509,0.0,5.0,,
2022-04-01T18:29:25Z,365aB2RegILTAZqCEgmkUc,Tripasia,55,spotify:track:365aB2RegILTAZqCEgmkUc,Cloonee,Tripasia,2022-03-25,176791,176791.0,0.844,0.0955,0.772,0.12,0.0757,-7.936,0.0924,128.003,4.0,0.559,1.0,7.0,house,house
2022-03-31T13:03:45Z,2e7FLtv5JjOr1IN8yCTcZQ,Naruda (Fall In Your Arms Again),39,spotify:track:2e7FLtv5JjOr1IN8yCTcZQ,1000 Beasts,Naruda (Fall In Your Arms Again),2022-02-18,200816,200816.0,0.676,0.93,0.33,0.128,0.138,-15.591,0.237,98.05,4.0,0.511,0.0,9.0,irish pop,pop
2022-03-31T12:55:57Z,0ouFThIkQRyW52ELPVjtdQ,All Of The Time - DJ Streaks Remix,0,spotify:track:0ouFThIkQRyW52ELPVjtdQ,Jungle,All Of The Time (DJ Streaks Remix),2021-10-06,286312,286312.0,0.83,0.00199,0.674,0.9,0.122,-7.886,0.0694,123.992,4.0,0.748,0.0,11.0,"indie soul, uk contemporary r&b",indie
2022-03-31T12:52:48Z,3b3TFgnFPhUSk8lvHdO6lX,Acid in My Blood,39,spotify:track:3b3TFgnFPhUSk8lvHdO6lX,Channel Tres,Acid / Ganzfeld 12”,2022-03-25,268866,268866.0,0.8,0.00112,0.759,0.332,0.0845,-6.938,0.0469,126.006,4.0,0.478,1.0,1.0,la pop,pop
2022-03-31T12:46:17Z,33h0F53mXDP3CmBSKlFKo5,Losing Touch,0,spotify:track:33h0F53mXDP3CmBSKlFKo5,Franc Moody,House of FM,2021-06-09,235263,235263.0,0.918,0.0461,0.638,0.6,0.1,-6.796,0.135,124.017,4.0,0.751,0.0,5.0,"indie soul, new french touch, nu disco",indie
2022-03-31T12:27:29Z,2xj5J9KdJbFmm5xBB3XjNa,Mass Appeal,0,spotify:track:2xj5J9KdJbFmm5xBB3XjNa,Franc Moody,Mass Appeal,2022-03-30,203496,203496.0,0.671,0.00239,0.71,0.892,0.0786,-7.305,0.0452,158.042,4.0,0.969,0.0,11.0,"indie soul, new french touch, nu disco",indie
2022-03-27T13:20:38Z,1AWQoqb9bSvzTjaLralEkT,Rock Your Body,77,spotify:track:1AWQoqb9bSvzTjaLralEkT,Justin Timberlake,Justified,2002-11-04,267266,267266.0,0.892,0.201,0.714,0.000234,0.0521,-6.055,0.141,100.972,4.0,0.817,0.0,4.0,"dance pop, pop",pop
